商家编号:,212879283
商品号,SKU,标题,最新生效时间,成本,商家编码,价格,自定义名称,库存,状态(0有效1删除)
#3795889555857604884,#0,滋栈【30段参30鲍！买二送一】金汤佛跳墙火锅加热海参鲍鱼花胶1/5,2025-01-19,0.0,,199.00,,1,0

#3795743975944618290,#0,桂花鲜炖桃胶羹营养粥（168g）（单盒）到手一碗,2025-01-19,0.0,,0.00,,100,0

#3795707266741698561,#0,桂花燕窝鲜炖桃胶羹（168g）（单盒）到手一碗,2025-01-19,0.0,,39.00,,100,0

#3795401308429746211,#0,滋栈【10段参10鲍！】金汤佛跳墙火锅加热海参鲍鱼花胶1/2,2025-01-19,0.0,,99.00,,1,0

#3795196805709431260,#0,佛跳墙1.25kg,2025-01-19,0.0,,99.00,,1,0

#3794781016376344712,#0,滋栈【30段参30鲍！买二送一】金汤佛跳墙火锅加热海参鲍鱼花胶12/30,2025-01-19,0.0,,199.00,,1,0

#3794594174519607384,#0,滋栈DX【到手30参30鲍！年货节】满汉全席大盆菜送2盒金汤佛跳墙海参,2025-01-19,0.0,,299.00,,976,0

#3794593074982813852,#0,滋栈DH【到手30参30鲍！年货节】满汉全席大盆菜送2盒金汤佛跳墙海参,2025-01-19,0.0,,299.00,,302,0

#3794198397502751174,#0,滋栈【到手30参30鲍！年货节】满汉全席大盆菜送2盒金汤佛跳墙海参鲍,2025-01-19,0.0,,299.00,,183,0

#3793855081355542831,#0,滋栈【30段参30鲍！买二送一】金汤佛跳墙火锅加热即海参鲍鱼花胶Z2,2025-01-19,0.0,,199.00,,1,0

#3793854544551739747,#0,滋栈【30段参30鲍！买二送一】金汤佛跳墙火锅加热即海参鲍鱼花胶Z1,2025-01-19,0.0,,199.00,,396,0

#3793671754971480857,#0,【10刺参10鲍10虾】送锅送礼袋金玉满堂佛跳墙大盆菜食火锅海参鲍鱼,2025-01-19,0.0,,199.00,,6989,0

#3793471328275792238,#0,【30段参30鲍！买二送一】金汤佛跳墙火锅加热即食海参鲍鱼花胶bd,2025-01-19,0.0,,99.00,,1777,0

#3793310775989371224,#0,桂花鲜炖桃胶羹营养粥（168g）（单盒）到手一碗,2025-01-19,0.0,,39.00,,100,0

#3793069233328488784,#0,【30参30鲍！买二送一】滋栈金汤佛跳墙火锅加热即食海参鲍鱼花胶,2025-01-19,0.0,,99.00,,1,0

#3792976453554012444,#0,滋栈【30段参30鲍！买二送一】金汤佛跳墙火锅加热即食海参鲍鱼花胶,2025-01-19,0.0,,199.00,,929,0

#3792907826494570819,#0,滋栈【30段参30鲍！买二送一】金汤佛跳墙火锅加热即食海参鲍鱼花胶,2025-01-19,0.0,,199.00,,1,0

#3792906834382291266,#0,【30段参30鲍！买二送一】滋栈金汤佛跳墙火锅加热即食海参鲍鱼花胶,2025-01-19,0.0,,199.00,,1,0

#3792187906123235604,#0,滋栈【10参10鲍！周年庆破价】金汤佛跳墙火锅加热即食海参鲍鱼bd,2025-01-19,0.0,,99.00,,2844,0

#3792182470816956782,#0,【样品】金汤佛跳墙,2025-01-19,0.0,,99.00,,1,0

#3792162567980450150,#0,滋栈【10参10鲍！周年庆破价】金汤佛跳墙火锅加热即食海参鲍鱼花胶,2025-01-19,0.0,,99.00,,1,0

#3791434560454131835,#0,40碗囤货装花胶|杨枝甘露鲜炖即食正宗花胶速食粥营养粥滋补,2025-01-19,0.0,,219.00,,9861,0

#3790666858403856827,#0,【数量改6下单】滋栈金银花鲜炖燕窝烤梨252g/盒免煮鲜炖碗装羹BD,2025-01-19,0.0,,59.00,,1,0

#3790114029733806102,#0,【礼盒装】五红润养鲜炖燕窝粥6碗/盒开盖即食滋养代餐速食粥bd,2025-01-19,0.0,,89.00,,896,0

#3790112882792988874,#0,五红润养鲜炖燕窝粥6碗/盒开盖即食滋养代餐速食粥bd,2025-01-19,0.0,,99.00,,1,0

#3790111813421629580,#0,五红润养鲜炖燕窝粥6碗/盒开盖即食滋养代餐速食粥bd-1,2025-01-19,0.0,,49.90,,4957,0

#3788110908342010348,#0,月度囤货装！好礼纯牛奶燕麦干花胶礼盒装即食花胶代餐早餐,2025-01-19,0.0,,359.00,,186900,0

#3787186335094276217,#0,【到手6大碗】金银花鲜炖燕窝烤梨252g/碗鲜炖整梨秋冬滋润粥bd,2025-01-19,0.0,,49.00,,1,0

#3784750532632117704,#0,【到手20碗】杨枝甘露鲜炖即食花胶速食粥送礼袋营养早餐粥滋补bd,2025-01-19,0.0,,112.00,,17364,0

#3783829390744486358,#0,【专属】花胶+燕麦+牛奶|鲜炖即食花胶燕麦牛奶不加一滴水,2025-01-19,0.0,,88.00,,1,0

#3783630271757287997,#0,【11瓶】好礼纯牛奶燕麦花胶礼盒装即食花胶代餐早餐,2025-01-19,0.0,,59.90,,1,0

#3782882779952447783,#0,到手21件｜杨枝甘露鲜炖花胶粥10碗纯牛奶燕麦花胶11瓶礼盒,2025-01-19,0.0,,108.00,,1,0

#3781604767353143705,#0,【到手6大碗】滋栈金银花鲜炖燕窝烤梨252g/盒bd,2025-01-19,0.0,,49.00,,67241,0

#3781004144136028410,#0,五红润养鲜炖燕窝粥6碗/盒即食花胶滋养代餐速食粥,2025-01-19,0.0,,0.00,,1,0

#3780901058688188857,#0,五红润养鲜炖燕窝粥6碗/盒开盖即食滋养代餐速食粥,2025-01-19,0.0,,58.00,,1,0

#3780492836902928457,#0,【礼盒装】生椰燕麦鲜炖燕窝粥6碗/盒开盖即食滋养代餐速食粥bd,2025-01-19,0.0,,49.00,,49903,0

#3778631374613905823,#0,【样品】MKY五款新品｜五红椰香生椰杨枝桂花6碗/盒,2025-01-19,0.0,,58.00,,1,0

#3777721575986562200,#0,【礼盒装】生椰燕麦鲜炖燕窝粥bd,2025-01-19,0.0,,49.90,,994,0

#3776553746469880065,#0,【样品】11瓶22瓶｜MK滋栈纯牛奶燕麦花胶22PCS(成品)75g,2025-01-19,0.0,,59.90,,1,0

#3776553396413268440,#0,【样品】11瓶｜MK滋栈纯牛奶燕麦花胶11PCS(成品)75g,2025-01-19,0.0,,59.90,,1,0

#3776552971211506075,#0,【样品】MK杨枝甘露花胶粥168g*10盒+1个礼袋,2025-01-19,0.0,,58.00,,1,0

#3773779364999726040,#0,【15碗】花胶|杨枝甘露鲜炖即食花胶速食粥大花胶营养粥bd,2025-01-19,0.0,,85.00,,1,0

#3770310532540793116,#0,【礼盒装】纯牛奶燕麦花胶*22瓶75g/瓶不加一滴水,2025-01-19,0.0,,118.00,,1,0

#3770291786996645889,#0,【礼盒】花胶+燕麦+牛奶|鲜炖即食花胶燕麦牛奶不加一滴水,2025-01-19,0.0,,99.90,,1,0

#3762131160231182418,#0,促销/杨枝甘露蔓越莓牛油果藜麦花胶粥即食滋养营养,2025-01-19,20.4,,19.90,,1,0

#3758954170699350024,#0,【到手12盒】滋栈黑松露鲍汁鲍鱼加热即食美味滋补拌饭捞面速食bd,2025-01-19,0.0,,259.00,,1,0

#3758581889410138249,#0,滋栈金桂铁皮石斛段木银耳羹速食营养代餐即食早餐粥（6月份生产）,2025-01-19,0.0,,24.90,,1,0

#3758581863631945907,#0,滋栈金桂铁皮石斛段木银耳羹速食营养代餐即食早餐粥（六月份生产）,2025-01-19,0.0,,24.90,,1,0

#3758581633834418368,#0,【年货节优选】花胶+燕麦+牛奶|鲜炖即食干花胶燕麦牛奶不加一滴水,2025-01-19,0.0,,59.90,,1,0

#3758581569535737922,#0,花胶+燕窝+牛奶|鲜炖即食花胶燕窝牛奶不加一滴水滋养礼盒装,2025-01-19,0.0,,59.90,,1,0

#3758581404137554297,#0,滋栈陈皮莲子红豆沙开盖即速食粥广式甜品代餐速食粥,2025-01-19,0.0,,30.00,,1,0

#3758581180740534333,#0,金桂铁皮石斛段木银耳羹速食营养代餐即食早餐粥,2025-01-19,0.0,,24.90,,1546,0

#3758581077610987810,#0,【11瓶】好礼纯牛奶燕麦干花胶礼盒装即食花胶代餐早餐,2025-01-19,0.0,,59.90,,1,0

#3758580993859125671,#0,滋栈金桂铁皮石斛段木银耳羹速食粥营养代餐即食（六月份生产）,2025-01-19,0.0,,24.90,,1,0

#3758580673934393543,#0,滋栈纯牛奶燕窝花胶礼盒升级即食花胶营养代餐滋养早餐孕妇上班,2025-01-19,21.0,,59.90,,1,0

#3758580154226573698,#0,滋栈滋栈陈皮莲子红豆沙即食营养代餐滋补速食早餐孕妇上班族,2025-01-19,0.0,,59.90,,1,0

#3758579787141087649,#0,滋栈【12月到期】陈皮莲子红豆沙开盖即食营养速食粥qc,2025-01-19,0.0,,45.00,,1,0

#3757681415291011089,#0,滋栈蔓越莓藜麦花胶粥即食滋养营养代餐早餐下午茶新品,2025-01-19,0.0,,0.00,,1,0

#3757309054360354888,#0,滋栈牛油果藜麦花胶粥即食滋养营养下午茶早餐代餐（六月份生产）,2025-01-19,0.0,,34.90,,1,0

#3756184202408755510,#0,【年货节】礼袋杨枝甘露鲜炖即食燕窝干花胶速食粥营养早餐粥滋补,2025-01-19,0.0,,79.00,,132227,0

#3755797299104710683,#0,【礼盒装】五红润养鲜炖燕窝粥6碗/盒开盖即食滋养代餐速食粥bd,2025-01-19,0.0,,49.00,,19627,0

#3755791953841750069,#0,【11瓶】纯牛奶燕麦花胶礼盒装即食花胶营养代餐滋养早餐孕妇上班,2025-01-19,0.0,,59.90,,1,0

#3754693694280827064,#0,【礼盒装】椰香藜麦鲜炖花胶粥6碗/盒即食花胶滋养代餐速食粥bd,2025-01-19,0.0,,49.00,,1,0

#3753026336361415057,#0,滋栈【买6盒送4盒！送礼袋】花胶|杨枝甘露鲜炖花胶速食粥营养粥滋,2025-01-19,0.0,,58.00,,199972,0

#3752295728106570056,#0,【11瓶/22瓶】送礼｜鲜炖即食花胶燕麦纯牛奶礼盒不加一滴水bd,2025-01-19,0.0,,59.90,,139973,0

#3748949181990044618,#0,【4礼盒24碗】五红生椰杨枝甘露燕麦鲜炖燕窝花胶粥即食食品礼盒装,2025-01-19,0.0,,179.00,,376,0

#3748948060961636812,#0,滋栈金桂铁皮石斛段木银耳羹168g到手10碗速食粥营养（六月份生产）,2025-01-19,0.0,,53.00,,1,0

#3748010345021702395,#0,滋栈陈皮莲子红豆沙开盖即食速食粥广式甜品代餐速食粥,2025-01-19,0.0,,30.00,,1982,0

#3748008536739807373,#0,滋栈陈皮莲子红豆沙开盖即食营养速食粥广式甜品软糯早代餐速食粥,2025-01-19,0.0,,23.90,,1,0

#3743797190276022417,#0,【买6盒送4盒！送礼袋】花胶|滋栈杨枝甘露鲜炖花胶速食粥营养粥滋,2025-07-19,16.0,,58.00,,77580,0

#3743519920231678063,#0,滋栈杨枝甘露鲜炖燕窝花胶粥即食轻奢滋养代餐下午茶便携装tg,2025-01-19,16.0,,85.00,,1,0

#3742094019082191121,#0,滋栈【买6盒送4盒！送礼袋】燕窝＋花胶|杨枝甘露鲜炖花胶粥营养粥,2025-07-19,16.0,,58.00,,512760,0

